date,sku,name,url,price,stock,availability,model,memory_gb,brand,rolling_median,ever_min,is_sale,is_low,pct_off
2025-10-13,170076,Raspberry Pi Ceramic Mug,https://www.microcenter.com/product/627907/raspberry-pi-ceramic-mug,9.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,9.99,False,True,
2025-10-15,170076,Raspberry Pi Ceramic Mug,https://www.microcenter.com/product/627907/raspberry-pi-ceramic-mug,9.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,9.99,False,True,
2025-10-13,188631,Raspberry Pi 4 Case Fan,https://www.microcenter.com/product/628750/raspberry-pi-4-case-fan,4.99,In Stock,Usually ships,Pi 4,,Raspberry Pi,,4.99,False,True,
2025-10-15,188631,Raspberry Pi 4 Case Fan,https://www.microcenter.com/product/628750/raspberry-pi-4-case-fan,4.99,In Stock,Usually ships,Pi 4,,Raspberry Pi,,4.99,False,True,
2025-10-13,203232,Raspberry Pi 400 Personal Computer Kit;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  4GB RAM;  Built-in Keyboard,https://www.microcenter.com/product/631204/raspberry-pi-400-personal-computer-kit,89.99,Buy In Store,Buy In Store,Pi 4,4.0,Raspberry Pi,,89.99,False,True,
2025-10-15,203232,Raspberry Pi 400 Personal Computer Kit;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  4GB RAM;  Built-in Keyboard,https://www.microcenter.com/product/631204/raspberry-pi-400-personal-computer-kit,89.99,Buy In Store,Buy In Store,Pi 4,4.0,Raspberry Pi,,89.99,False,True,
2025-10-13,212894,Raspberry Pi DigiAMP,https://www.microcenter.com/product/631851/raspberry-pi-digiamp,29.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,29.99,False,True,
2025-10-15,212894,Raspberry Pi DigiAMP,https://www.microcenter.com/product/631851/raspberry-pi-digiamp,29.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,29.99,False,True,
2025-10-13,232736,"Raspberry Pi 400 - Includes Raspbery Pi 400 with 4GB Ram, Micro SD Card Slot, 2 USB 3.0 Ports, 1 USB 2.0 Port, USB C Power Required","https://www.microcenter.com/product/633751/raspberry-pi-400-includes-raspbery-pi-400-with-4gb-ram,-micro-sd-card-slot,-2-usb-30-ports,-1-usb-20-port,-usb-c-power-required",59.99,Buy In Store,Buy In Store,Pi 4,4.0,Raspberry Pi,,59.99,False,True,
2025-10-15,232736,"Raspberry Pi 400 - Includes Raspbery Pi 400 with 4GB Ram, Micro SD Card Slot, 2 USB 3.0 Ports, 1 USB 2.0 Port, USB C Power Required","https://www.microcenter.com/product/633751/raspberry-pi-400-includes-raspbery-pi-400-with-4gb-ram,-micro-sd-card-slot,-2-usb-30-ports,-1-usb-20-port,-usb-c-power-required",59.99,Buy In Store,Buy In Store,Pi 4,4.0,Raspberry Pi,,59.99,False,True,
2025-10-15,278523,Raspberry Pi 4 Model B;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  4GB DDR4 RAM,https://www.microcenter.com/product/637834/raspberry-pi-4-model-b,54.99,Buy In Store,Buy In Store,Pi 4,4.0,Raspberry Pi,,54.99,False,True,
2025-10-13,334904,Raspberry Pi Zero 2 W;  ARM Cortex A53 Quad Core Processor;  512MB LPDDR2 RAM,https://www.microcenter.com/product/643085/raspberry-pi-zero-2-w,14.99,Buy In Store,In-Store Pickup,Accessory,0.5,Raspberry Pi,,14.99,False,True,
2025-10-15,334904,Raspberry Pi Zero 2 W;  ARM Cortex A53 Quad Core Processor;  512MB LPDDR2 RAM,https://www.microcenter.com/product/643085/raspberry-pi-zero-2-w,14.99,Buy In Store,In-Store Pickup,Accessory,0.5,Raspberry Pi,,14.99,False,True,
2025-10-13,346866,Raspberry Pi 12.5 Watt Power Supply,https://www.microcenter.com/product/643086/raspberry-pi-125-watt-power-supply,7.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,7.99,False,True,
2025-10-15,346866,Raspberry Pi 12.5 Watt Power Supply,https://www.microcenter.com/product/643086/raspberry-pi-125-watt-power-supply,7.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,7.99,False,True,
2025-10-13,412197,Raspberry Pi Pico WH - Pico Wireless with Headers Soldered;  RP2040 32-bit Cortex M0+ Dual Core Processor;  264KB RAM,https://www.microcenter.com/product/650109/raspberry-pi-pico-wh-pico-wireless-with-headers-soldered,5.99,Buy In Store,In-Store Pickup,Pico,,Raspberry Pi,,5.99,False,True,
2025-10-15,412197,Raspberry Pi Pico WH - Pico Wireless with Headers Soldered;  RP2040 32-bit Cortex M0+ Dual Core Processor;  264KB RAM,https://www.microcenter.com/product/650109/raspberry-pi-pico-wh-pico-wireless-with-headers-soldered,5.99,Buy In Store,In-Store Pickup,Pico,,Raspberry Pi,,5.99,False,True,
2025-10-13,412205,Raspberry Pi Pico W;  RP2040 32-bit Cortex M0+ Dual Core Processor;  264KB RAM,https://www.microcenter.com/product/650108/raspberry-pi-pico-w,4.99,Buy In Store,Buy In Store,Pico,,Raspberry Pi,,4.99,False,True,
2025-10-15,412205,Raspberry Pi Pico W;  RP2040 32-bit Cortex M0+ Dual Core Processor;  264KB RAM,https://www.microcenter.com/product/650108/raspberry-pi-pico-w,4.99,Buy In Store,Buy In Store,Pico,,Raspberry Pi,,4.99,False,True,
2025-10-13,412213,Raspberry Pi Pico H - Raspberry Pi Pico with Headers Pre Installed;  RP2040 32-bit Cortex M0 Dual Core Processor;  264KB RAM,https://www.microcenter.com/product/650107/raspberry-pi-pico-h-raspberry-pi-pico-with-headers-pre-installed,3.99,Buy In Store,Buy In Store,Pico,,Raspberry Pi,,3.99,False,True,
2025-10-15,412213,Raspberry Pi Pico H - Raspberry Pi Pico with Headers Pre Installed;  RP2040 32-bit Cortex M0 Dual Core Processor;  264KB RAM,https://www.microcenter.com/product/650107/raspberry-pi-pico-h-raspberry-pi-pico-with-headers-pre-installed,3.99,Buy In Store,Buy In Store,Pico,,Raspberry Pi,,3.99,False,True,
2025-10-13,422659,Raspberry Pi Zero W Microcontroller Development Board;  Bluetooth 4.1;  1GHz single-core CPU;  512MB RAM;  Mini HDMI and USB On-The-Go ports,https://www.microcenter.com/product/486575/raspberry-pi-zero-w-microcontroller-development-board,7.99,Buy In Store,In-Store Pickup,Accessory,0.5,Raspberry Pi,,7.99,False,True,
2025-10-15,422659,Raspberry Pi Zero W Microcontroller Development Board;  Bluetooth 4.1;  1GHz single-core CPU;  512MB RAM;  Mini HDMI and USB On-The-Go ports,https://www.microcenter.com/product/486575/raspberry-pi-zero-w-microcontroller-development-board,7.99,Buy In Store,In-Store Pickup,Accessory,0.5,Raspberry Pi,,7.99,False,True,
2025-10-13,422709,Raspberry Pi Official Raspberry Pi Zero Case - White/Red,https://www.microcenter.com/product/486577/raspberry-pi-official-raspberry-pi-zero-case-white-red,4.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,4.99,False,True,
2025-10-15,422709,Raspberry Pi Official Raspberry Pi Zero Case - White/Red,https://www.microcenter.com/product/486577/raspberry-pi-official-raspberry-pi-zero-case-white-red,4.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,4.99,False,True,
