sku,name,price,availability,stock,url
772582,Raspberry Pi Touch Display 2,$99.99,Usually ships,In Stock,https://www.microcenter.com/product/687338/raspberry-pi-touch-display-2
829002,Raspberry Pi 45W USB-C Power Supply,$14.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/692335/raspberry-pi-45w-usb-c-power-supply
620351,Raspberry Pi 27W USB-C PSU - Black,$11.99,Usually ships,In Stock,https://www.microcenter.com/product/671927/raspberry-pi-27w-usb-c-psu-black
620310,Raspberry Pi 5 Active Cooler,$9.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/671930/raspberry-pi-5-active-cooler
620344,Raspberry Pi 27W USB-C PSU - White,$11.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/671926/raspberry-pi-27w-usb-c-psu-white
740027,Raspberry Pi 5 4GB Starter Kit - With Official Accessories,$129.99,Usually ships,In Stock,https://www.microcenter.com/product/683915/raspberry-pi-5-4gb-starter-kit-with-official-accessories
740647,Raspberry Pi 5 Accessories Kit,$44.99,Usually ships,In Stock,https://www.microcenter.com/product/683905/raspberry-pi-5-accessories-kit
950402,"Raspberry Pi Micro-HDMI to Standard HDMI (A/M), 1m cable",$7.99,Usually ships,In Stock,"https://www.microcenter.com/product/608177/raspberry-pi-micro-hdmi-to-standard-hdmi-(a-m),-1m-cable"
99788,Raspberry Pi 4 Model B;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  8GB DDR4 RAM,$74.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/622539/raspberry-pi-4-model-b
620336,Raspberry Pi 5 Case - Red/White,$9.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/671928/raspberry-pi-5-case-red-white
734038,Raspberry Pi AI Camera,$77.99,Usually ships,In Stock,https://www.microcenter.com/product/683271/raspberry-pi-ai-camera
772590,Raspberry Pi 15.6 in Full HD IPS Monitor,$99.99,Usually ships,In Stock,https://www.microcenter.com/product/687351/raspberry-pi-156-in-full-hd-ips-monitor
346866,Raspberry Pi 12.5 Watt Power Supply,$7.99,Usually ships,In Stock,https://www.microcenter.com/product/643086/raspberry-pi-125-watt-power-supply
620369,Raspberry Pi 5 Case - Black/Gray,$9.99,Usually ships,In Stock,https://www.microcenter.com/product/671929/raspberry-pi-5-case-black-gray
690578,Raspberry Pi 5 M.2 Hat,$17.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/671943/raspberry-pi-5-m2-hat
872945,Raspberry Pi 3 Model B+,$34.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/601561/raspberry-pi-3-model-b
531954,Raspberry Pi Camera 3,$33.99,Usually ships,In Stock,https://www.microcenter.com/product/662016/raspberry-pi-camera-3
531921,Raspberry Pi Camera 3 Wide NoIR,$34.99,Usually ships,In Stock,https://www.microcenter.com/product/662019/raspberry-pi-camera-3-wide-noir
773648,Raspberry Pi 256GB SSD Kit,$54.99,Usually ships,In Stock,https://www.microcenter.com/product/687343/raspberry-pi-256gb-ssd-kit
950105,Raspberry Pi 4 Official 15W Power Supply US - Black;  5.1V / 3.0A DC output;  96-264Vac operating input range;  Short circuit/overcurrent/over temperature protection,$7.99,Usually ships,In Stock,https://www.microcenter.com/product/608170/raspberry-pi-4-official-15w-power-supply-us-black
422709,Raspberry Pi Official Raspberry Pi Zero Case - White/Red,$4.99,Usually ships,In Stock,https://www.microcenter.com/product/486577/raspberry-pi-official-raspberry-pi-zero-case-white-red
635649,Raspberry Pi 5;  ARM Cortex A76 Quad Core Processor;  8GB LPDDR4X RAM,$64.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/673711/raspberry-pi-5
938035,Raspberry Pi 5;  ARM Cortex A76 Quad Core Processor;  16GB LPDDR4X RAM,$99.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/702590/raspberry-pi-5
783308,Raspberry Pi 32GB A2 SD Card and Card Reader,$14.99,Usually ships,In Stock,https://www.microcenter.com/product/687676/raspberry-pi-32gb-a2-sd-card-and-card-reader
772574,Raspberry Pi AI Hat 26 Tops,$109.99,Usually ships,In Stock,https://www.microcenter.com/product/687348/raspberry-pi-ai-hat-26-tops
773655,Raspberry Pi 512GB NVME Kit,$79.99,Usually ships,In Stock,https://www.microcenter.com/product/687344/raspberry-pi-512gb-nvme-kit
87320,Raspberry Pi 4 Model B;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  2GB DDR4 RAM,$44.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/621439/raspberry-pi-4-model-b
203232,Raspberry Pi 400 Personal Computer Kit;  Broadcom BCM2711 Quad core Cortex-A72 (ARM v8) 64-bit SoC;  4GB RAM;  Built-in Keyboard,$89.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/631204/raspberry-pi-400-personal-computer-kit
795484,"Raspberry Pi 7"" Pi Touchscreen LCD Display",$59.99,Usually ships,In Stock,https://www.microcenter.com/product/689848/raspberry-pi-7-pi-touchscreen-lcd-display
